datetime,adj_close
2013-01-02,265.36
2013-01-03,267.23
2013-01-04,266.72
2013-01-07,265.13
2013-01-08,262.84000000000003
2013-01-09,264.20000000000005
2013-01-10,261.03
2013-01-11,260.72
2013-01-14,260.5
2013-01-15,259.51
2013-01-16,261.21
2013-01-17,261.39
2013-01-18,260.60999999999996
2013-01-21,235.62
2013-01-22,262.86999999999995
2013-01-23,261.8299999999999
2013-01-24,260.59999999999997
2013-01-28,258.04
2013-01-29,258.61
2013-01-30,256.18
2013-01-31,258.28999999999996
2013-02-01,259.12999999999994
2013-02-04,257.68999999999994
2013-02-05,257.51
2013-02-06,257.64
2013-02-07,255.23999999999998
2013-02-08,255.21
2013-02-14,255.57
2013-02-15,254.53
2013-02-19,254.18
2013-02-20,251.55
2013-02-21,251.13
2013-02-22,253.05999999999997
2013-02-25,252.86
2013-02-26,256.17
2013-02-27,254.80999999999997
2013-02-28,257.52000000000004
2013-03-01,256.42
2013-03-04,254.02999999999997
2013-03-05,253.86
2013-03-06,261.78000000000003
2013-03-07,262.66
2013-03-08,263.25
2013-03-11,264.21000000000004
2013-03-12,262.84000000000003
2013-03-13,260.76000000000005
2013-03-14,262.21999999999997
2013-03-15,260.48
2013-03-18,260.62
2013-03-19,258.65
2013-03-20,257.83000000000004
2013-03-21,255.15999999999997
2013-03-22,254.64
2013-03-25,252.93000000000004
2013-03-26,255.09999999999997
2013-03-27,256.92999999999995
2013-03-28,256.99999999999994
2013-04-01,255.45000000000002
2013-04-02,254.99
2013-04-03,257.32000000000005
2013-04-04,254.54999999999998
2013-04-05,257.0
2013-04-08,258.67999999999995
2013-04-09,263.61
2013-04-10,262.94000000000005
2013-04-11,260.69000000000005
2013-04-12,259.45
2013-04-15,254.14
2013-04-16,257.46000000000004
2013-04-17,254.05000000000004
2013-04-18,253.19000000000003
2013-04-19,256.23
2013-04-22,258.37
2013-04-23,264.67
2013-04-24,263.41
2013-04-25,263.7
2013-04-29,262.13999999999993
2013-04-30,268.69000000000005
2013-05-02,267.23999999999995
2013-05-03,268.68
2013-05-06,269.8
2013-05-07,273.63000000000005
2013-05-08,274.2799999999999
2013-05-09,275.09
2013-05-10,273.83000000000004
2013-05-13,273.85999999999996
2013-05-14,274.78
2013-05-15,276.15000000000003
2013-05-16,275.04
2013-05-17,276.73
2013-05-20,278.68
2013-05-21,281.0100000000001
2013-05-22,280.9
2013-05-23,278.84
2013-05-24,278.6
2013-05-27,250.75
2013-05-28,277.76000000000005
2013-05-29,273.12000000000006
2013-05-31,269.48
2013-06-03,268.5900000000001
2013-06-04,269.85999999999996
2013-06-05,264.86000000000007
2013-06-06,264.25
2013-06-07,259.59
2013-06-10,258.97999999999996
2013-06-11,255.51000000000005
2013-06-12,253.23000000000002
2013-06-13,254.84000000000003
2013-06-14,250.62
2013-06-17,252.42000000000007
2013-06-18,251.59000000000003
2013-06-19,246.56
2013-06-20,244.84999999999997
2013-06-21,242.13000000000002
2013-06-24,237.84000000000003
2013-06-25,240.61000000000004
2013-06-26,244.08
2013-06-27,247.47000000000003
2013-06-28,247.25000000000006
2013-07-01,248.39000000000001
2013-07-02,242.52
2013-07-03,240.27999999999997
2013-07-04,224.68
2013-07-05,241.76
2013-07-08,240.64
2013-07-10,242.45000000000002
2013-07-11,247.57
